step,unique_count,entropy,top_freq
951000,107,3.4757,113
952000,107,3.4489,133
953000,114,3.4084,139
954000,126,3.5230,132
955000,139,3.6805,128
956000,132,3.6431,125
957000,142,3.7512,131
958000,138,3.7805,124
959000,132,3.7659,121
960000,132,3.7780,93
961000,130,3.7346,113
962000,115,3.5792,126
963000,112,3.5527,125
964000,109,3.4872,135
965000,119,3.4856,140
966000,112,3.4416,146
967000,132,3.5980,133
968000,133,3.6217,130
969000,129,3.6295,115
970000,126,3.6423,130
971000,137,3.7391,122
972000,126,3.6376,132
973000,123,3.5396,137
974000,127,3.6768,129
975000,132,3.7428,111
976000,136,3.8345,105
977000,139,3.8206,108
978000,131,3.7833,127
979000,138,3.8375,121
980000,138,3.8076,118
981000,153,3.8800,111
982000,154,3.9601,118
983000,158,3.9722,108
984000,147,3.9853,96
985000,142,3.8744,101
986000,150,3.9392,108
987000,159,4.0315,99
988000,153,3.9932,98
989000,160,4.0727,104
990000,162,4.0577,93
991000,145,4.1230,77
992000,145,4.0515,87
993000,151,4.0448,98
994000,141,3.9913,80
995000,137,3.9764,85
996000,146,4.0089,79
997000,135,3.8935,82
998000,120,3.7640,87
999000,102,3.5837,98
